2010-10-23 17:45:29 Notice: Notice (8): Undefined property: View::$Js in [/var/www/onlineschool/app/views/home/index.ctp, line 20]
2010-10-23 20:52:46 Notice: Notice (8): Undefined variable: javascript in [/var/www/onlineschool/app/views/layouts/default.ctp, line 33]
2010-10-23 21:12:23 Notice: Notice (8): Undefined property: SubjectsubsController::$SubjectSub in [/var/www/onlineschool/app/controllers/subjectsubs_controller.php, line 6]
2010-10-23 21:43:19 Notice: Notice (8): Undefined property: View::$subsubjects in [/var/www/onlineschool/app/views/subjectsubs/search.ctp, line 2]
2010-10-23 21:49:41 Notice: Notice (8): Undefined property: SubjectsubsController::$Subjectsub in [/var/www/onlineschool/app/controllers/subjectsubs_controller.php, line 6]
2010-10-23 21:49:49 Notice: Notice (8): Undefined property: SubjectsubsController::$Subjectsub in [/var/www/onlineschool/app/controllers/subjectsubs_controller.php, line 6]
2010-10-23 21:49:50 Notice: Notice (8): Undefined property: SubjectsubsController::$Subjectsub in [/var/www/onlineschool/app/controllers/subjectsubs_controller.php, line 6]
2010-10-24 00:05:47 Notice: Notice (8): Undefined variable: subject in [/var/www/onlineschool/app/views/home/index.ctp, line 21]
2010-10-24 00:07:36 Notice: Notice (8): Undefined index: Subjects in [/var/www/onlineschool/app/views/home/index.ctp, line 23]
2010-10-24 00:07:36 Notice: Notice (8): Undefined variable: post in [/var/www/onlineschool/app/views/home/index.ctp, line 23]
2010-10-24 00:07:45 Notice: Notice (8): Undefined index: Subject in [/var/www/onlineschool/app/views/home/index.ctp, line 23]
2010-10-24 00:07:45 Notice: Notice (8): Undefined variable: post in [/var/www/onlineschool/app/views/home/index.ctp, line 23]
2010-10-24 00:17:08 Notice: Notice (8): Undefined variable: subject in [/var/www/onlineschool/app/views/home/index.ctp, line 25]
2010-10-24 00:17:17 Notice: Notice (8): Undefined index: Business Administration in [/var/www/onlineschool/app/views/home/index.ctp, line 25]
2010-10-24 00:17:17 Notice: Notice (8): Undefined index: Hospitality / Culinary Arts in [/var/www/onlineschool/app/views/home/index.ctp, line 25]
2010-10-24 00:17:17 Notice: Notice (8): Undefined index: Education in [/var/www/onlineschool/app/views/home/index.ctp, line 25]
2010-10-24 00:17:17 Notice: Notice (8): Undefined index: Healthcare in [/var/www/onlineschool/app/views/home/index.ctp, line 25]
2010-10-24 00:17:17 Notice: Notice (8): Undefined index: IT / Science /  Engineering  in [/var/www/onlineschool/app/views/home/index.ctp, line 25]
2010-10-24 00:17:17 Notice: Notice (8): Undefined index: Law and Justice in [/var/www/onlineschool/app/views/home/index.ctp, line 25]
2010-10-24 00:17:17 Notice: Notice (8): Undefined index: Liberal Arts in [/var/www/onlineschool/app/views/home/index.ctp, line 25]
2010-10-24 00:17:17 Notice: Notice (8): Undefined index: Nursing in [/var/www/onlineschool/app/views/home/index.ctp, line 25]
2010-10-24 00:17:17 Notice: Notice (8): Undefined index: Trade in [/var/www/onlineschool/app/views/home/index.ctp, line 25]
2010-10-24 00:17:17 Notice: Notice (8): Undefined index: Web / Graphic Design in [/var/www/onlineschool/app/views/home/index.ctp, line 25]
2010-10-24 21:20:37 Notice: Notice (8): Undefined property: Program::$SubjectSub in [/var/www/onlineschool/app/controllers/programs_controller.php, line 6]
2010-10-24 21:20:37 Notice: Notice (8): Trying to get property of non-object in [/var/www/onlineschool/app/controllers/programs_controller.php, line 6]
2010-10-24 21:41:27 Notice: Notice (8): Undefined property: ProgramsController::$Programs in [/var/www/onlineschool/app/controllers/programs_controller.php, line 6]
2010-10-24 21:41:27 Notice: Notice (8): Trying to get property of non-object in [/var/www/onlineschool/app/controllers/programs_controller.php, line 6]
2010-10-24 21:43:25 Notice: Notice (8): Undefined index: Programs in [/var/www/onlineschool/app/views/programs/programs.ctp, line 3]
2010-10-24 21:43:31 Notice: Notice (8): Undefined index: Program in [/var/www/onlineschool/app/views/programs/programs.ctp, line 3]
2010-10-24 21:44:15 Notice: Notice (8): Undefined index: Programs in [/var/www/onlineschool/app/views/programs/programs.ctp, line 3]
2010-10-25 23:45:20 Notice: Notice (8): Undefined variable: xml in [/var/www/onlineschool/app/views/parser/index.ctp, line 7]
2010-10-25 23:46:52 Notice: Notice (8): Undefined variable: xml in [/var/www/onlineschool/app/views/parser/index.ctp, line 7]
2010-10-25 23:49:10 Notice: Notice (8): Undefined variable: xml in [/var/www/onlineschool/app/views/parser/index.ctp, line 7]
2010-10-25 23:50:17 Notice: Notice (8): Undefined variable: xml in [/var/www/onlineschool/app/views/parser/index.ctp, line 7]
2010-10-25 23:50:24 Notice: Notice (8): Undefined variable: data in [/var/www/onlineschool/app/controllers/parser_controller.php, line 19]
2010-10-25 23:52:57 Notice: Notice (8): Undefined property: ParserController::$form in [/var/www/onlineschool/app/controllers/parser_controller.php, line 19]
2010-10-25 23:55:01 Notice: Notice (8): Undefined property: ParserController::$param in [/var/www/onlineschool/app/controllers/parser_controller.php, line 20]
2010-10-25 23:55:14 Notice: Notice (8): Undefined variable: param in [/var/www/onlineschool/app/controllers/parser_controller.php, line 20]
2010-10-26 00:05:27 Notice: Notice (8): Undefined variable: xml in [/var/www/onlineschool/app/views/parser/index.ctp, line 11]
2010-10-26 00:06:10 Notice: Notice (8): Trying to get property of non-object in [/var/www/onlineschool/app/controllers/parser_controller.php, line 20]
2010-10-26 09:28:03 Notice: Notice (8): Undefined variable: xml in [/Applications/MAMP/htdocs/onlineschool/app/views/parser/index.ctp, line 11]
2010-10-26 11:35:50 Notice: Notice (8): Undefined index: name in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 41]
2010-10-26 11:35:50 Notice: Notice (8): Undefined index: logo in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 42]
2010-10-26 11:35:50 Notice: Notice (8): Undefined index: corpDescription in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 43]
2010-10-26 11:35:50 Notice: Notice (8): Undefined index: tagline in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 45]
2010-10-26 11:35:50 Notice: Notice (8): Undefined index: accreditation in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 49]
2010-10-26 11:36:41 Notice: Notice (8): Undefined index: name in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 41]
2010-10-26 11:36:58 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 41]
2010-10-26 11:56:24 Notice: Notice (8): Undefined property: School::$Network in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 59]
2010-10-26 12:16:29 Notice: Notice (8): Undefined property: School::$NetworksSchools in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 63]
2010-10-26 12:16:42 Notice: Notice (8): Undefined property: School::$NetworkSchool in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 63]
2010-10-26 12:22:11 Notice: Notice (8): Undefined property: School::$Network in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 59]
2010-10-26 12:22:25 Notice: Notice (8): Undefined property: ParserController::$Networks in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 59]
2010-10-26 12:23:58 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 59]
2010-10-26 12:31:32 Notice: Notice (8): Undefined property: ParserController::$Networks in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 59]
2010-10-26 14:04:11 Notice: Notice (8): Undefined variable: one in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 800]
2010-10-26 14:17:08 Notice: Notice (8): Undefined variable: school in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 42]
2010-10-26 14:17:08 Notice: Notice (8): Undefined variable: school in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 43]
